"","playerID","name","IP","ER","ERA","K","ebWAR","efWAR"
"1","clemero02","Roger Clemens",5440,1731,2.86,4718,143.68,138.71
"2","maddugr01","Greg Maddux",5653,1749,2.78,3407,112.42,119.53
"3","johnsra05","Randy Johnson",4724,1541,2.94,5034,109.08,107.55
"4","seaveto01","Tom Seaver",4587,1487,2.92,3679,104.81,91.39
"5","grovele01","Lefty Grove",3514,1102,2.82,2817,101.81,97.35
"6","blylebe01","Bert Blyleven",4881,1735,3.2,3741,98,101.73
"7","verlaju01","Justin Verlander",3887,1229,2.85,3112,96.34,91.58
"8","niekrph01","Phil Niekro",5079,1775,3.15,3388,94.68,77.94
"9","johnswa01","Walter Johnson",4789,1788,3.36,3925,92.9,92.67
"10","perryga01","Gaylord Perry",4979,1766,3.19,3391,90.23,94.97
"11","carltst01","Steve Carlton",4813,1629,3.05,4248,90.08,100.4
"12","spahnwa01","Warren Spahn",4906,1753,3.22,2840,88.93,70.68
"13","kershcl01","Clayton Kershaw",3298,903,2.46,2869,88.83,85.38
"14","greinza01","Zack Greinke",4081,1345,2.97,2788,88.4,78.16
"15","ryanno01","Nolan Ryan",5320,1923,3.25,6049,87.42,108.8
"16","martipe02","Pedro Martinez",3246,946,2.62,3053,87.12,81.12
"17","scherma01","Max Scherzer",3447,1073,2.8,3348,85.87,79.23
"18","mussimi01","Mike Mussina",4037,1448,3.23,2687,83.19,78.97
"19","schilcu01","Curt Schilling",3664,1221,3,3031,80.52,75.83
"20","glavito02","Tom Glavine",4920,1714,3.14,2518,79.78,68.26
"21","jenkife01","Fergie Jenkins",4200,1501,3.22,3108,78.92,76.81
"22","gibsobo01","Bob Gibson",3584,1195,3,2837,77.17,76.46
"23","roberro01","Robin Roberts",4437,1749,3.55,2479,76.76,68.39
"24","hallaro01","Roy Halladay",3196,1017,2.86,2089,76.51,66.84
"25","sabatc.01","CC Sabathia",4172,1476,3.18,2980,74.13,75.04
"26","suttodo01","Don Sutton",5073,1917,3.4,3590,73.38,83.34
"27","reuscri01","Rick Reuschel",3532,1232,3.14,2158,69.94,69.22
"28","alexape01","Pete Alexander",4358,1590,3.28,2481,69.7,78.6
"29","buehrma01","Mark Buehrle",3772,1325,3.16,1919,69.56,59.3
"30","hamelco01","Cole Hamels",3233,1048,2.92,2445,69.28,59.24
"31","smoltjo01","John Smoltz",3882,1274,2.95,3077,68.44,79.08
"32","brownke01","Kevin Brown",3665,1305,3.2,2359,66.08,72.93
"33","palmeji01","Jim Palmer",3684,1223,2.99,2239,65.5,53.14
"34","pettian01","Andy Pettitte",3755,1388,3.33,2283,65.29,67.14
"35","hudsoti01","Tim Hudson",3573,1215,3.06,2087,64.79,56.19
"36","johnto01","Tommy John",4586,1738,3.41,2386,63.45,76
